,Date,text,label,score
0,2022-04-29 23:50:08+00:00,"OPINION: @user @user Biden thinks student loan borrowers deserve a blank check from taxpayers
http",Negative,0.49881401658058167
1,2022-04-29 23:40:07+00:00,"Clinton campaign seeks to block Durham access to Perkins Coie documents
http",Neutral,0.7511784434318542
2,2022-04-29 23:30:00+00:00,"NYC bystander stabbed by group outside club in Queens

http",Negative,0.5349477529525757
3,2022-04-29 23:20:00+00:00,"Met Gala 2022 'Gilded Glamour' theme gets mixed reactions: 'Impeccable timing'

http",Neutral,0.6993231773376465
4,2022-04-29 23:10:00+00:00,"Elon Musk and Amber Heard: What we learned this week

http",Neutral,0.932086169719696
5,2022-04-29 23:00:01+00:00,"VACATION NIGHTMARE: Panic erupts at airport after family shows up with souvenir found hiking

http",Negative,0.7361697554588318
6,2022-04-29 22:50:00+00:00,"Los Angeles Dodgers pitcher Trevor Bauer suspended for two seasons after alleged sexual assault

http",Neutral,0.5484758615493774
7,2022-04-29 22:40:00+00:00,"Rove: White House put a 'political hack' in charge of disinformation board

http",Neutral,0.514811098575592
8,2022-04-29 22:30:00+00:00,"HER OWN DISINFORMATION: Biden's pick to lead crackdown on freedom of speech has history of making false or misleading claims

http",Negative,0.7337328791618347
9,2022-04-29 22:20:00+00:00,"AOC botches facts in viral tweet attacking Texas abortion law

http",Negative,0.7495251297950745
10,2022-04-29 22:10:00+00:00,"Charlie Crist says he's 'open' to mask mandate, setting up COVID as key issue in race against DeSantis

http",Neutral,0.8788675665855408
11,2022-04-29 22:00:01+00:00,"'KEPT FROM US': Parents fight back after they say school hid what led their teen son to suicide

http",Negative,0.693515419960022
12,2022-04-29 21:50:00+00:00,"OPINION: Biden thinks student loan borrowers deserve a blank check from taxpayers

http",Neutral,0.5676213502883911
13,2022-04-29 21:40:00+00:00,"Dolly Parton backtracks, will ‘gratefully accept’ Rock Hall nomination

http",Neutral,0.6650255918502808
14,2022-04-29 21:30:00+00:00,"‘Disinformation czar’ tweets reveal history of dubious claims on COVID, Hunter Biden and Russia

http",Negative,0.5119180679321289
15,2022-04-29 21:21:15+00:00,‘RECKLESS’: Liberal anchor Joy Reid had claimed in a tweet that @user bringing black children to an anti-CRT event was ‘tantamount to child abuse.’ http http,Negative,0.8358435034751892
16,2022-04-29 21:20:00+00:00,"Florida AG Moody releases internal DHS document she says contradicts Mayorkas testimony on border crisis

http",Neutral,0.7420315742492676
17,2022-04-29 21:10:00+00:00,"Psaki defends Nina Jankowicz, claims DHS 'disinformation' board continuation of work under Trump

http",Neutral,0.6225459575653076
18,2022-04-29 21:00:00+00:00,"Tomi Lahren: Mainstream media doesn’t want to know the truth about Hunter Biden

http",Neutral,0.5542314648628235
19,2022-04-29 20:50:00+00:00,"Rep. McCaul torches Biden admin after Mayorkas hearings: 'This is just insanity'

http",Negative,0.8015386462211609
20,2022-04-29 20:40:00+00:00,"Congress revives WWII-era program used to defeat Hitler to deploy aid to Ukraine

http",Neutral,0.8326152563095093
21,2022-04-29 20:30:00+00:00,"Left-wing writer frets Trump Twitter return ‘might just be his path to victory’ in 2024

http",Neutral,0.8319286108016968
22,2022-04-29 20:20:00+00:00,"Forbes on student debt forgiveness: 'Where does the president get the authority?'

http",Neutral,0.9075576663017273
23,2022-04-29 20:10:00+00:00,"OPINION: Black success demolishes the left's '2+2 = racism' lie  

http",Neutral,0.5933822393417358
24,2022-04-29 20:00:01+00:00,"Nina Jankowicz touted her own House testimony suggesting Hunter Biden laptop had 'illicit provenance'

http",Neutral,0.8851369023323059
25,2022-04-29 19:50:00+00:00,"ICE struggles with growing crowds outside Florida facility amid migrant surge

http",Neutral,0.532337486743927
26,2022-04-29 19:40:00+00:00,"Biden admin authorizes E15 gasoline in an effort to increase US fuel supply, reduce gas prices

http",Neutral,0.7420238852500916
27,2022-04-29 19:30:00+00:00,"MSNBC column sounds red alert over DeSantis: 'Most dangerous figure in American politics'

http",Negative,0.7069666385650635
28,2022-04-29 19:29:27+00:00,‘GOD’S REALLY BLESSED ME’: High school senior Noble Rasmussen told ‘Fox &amp; Friends’ he feels like it’s his ‘duty’ to help his country. http http,Positive,0.9701240062713623
29,2022-04-29 19:20:00+00:00,"Chicago parents demand accountability from school after son's suicide: Bullying 'was kept from us'

http",Negative,0.770905077457428
30,2022-04-29 19:10:00+00:00,"Nebraska teen accepted into all 5 military academies sets out to serve his country

http",Neutral,0.7011476755142212
31,2022-04-29 19:00:00+00:00,"SECRETARY STUMPED: Biden's DHS chief fails to name single domestic terror, White supremacy case referred to DOJ

http",Negative,0.6911802291870117
32,2022-04-29 18:50:00+00:00,"'The View' host: Republican Party isn't 'in line with American values'

http",Neutral,0.6071710586547852
33,2022-04-29 18:40:00+00:00,"Travon Walker's message to Jaguars front office after picking him No. 1: 'You won't regret it'

http",Neutral,0.8026568293571472
34,2022-04-29 18:30:00+00:00,"ISIS 'Beatle' member sentenced to life in prison for terror beheadings

http",Negative,0.8035251498222351
35,2022-04-29 18:20:00+00:00,"Republicans accuse Mayorkas of discrediting 'legitimate criticism' with 'disinformation' board, demand info

http",Negative,0.6612542867660522
36,2022-04-29 18:10:00+00:00,"‘Racial equity’ a ‘central tenet’ in dispersing American Rescue Plan funds at state, local level: U.S. Treasury

http",Neutral,0.904333233833313
37,2022-04-29 18:00:01+00:00,"SCARED OF PSAKI: Reporter reveals why they're afraid to go after Biden's press secretary

http",Negative,0.6062031984329224
38,2022-04-29 17:50:00+00:00,"Rep. McClintock rips Biden admin for 'flooding' US with migrants

http",Negative,0.6693517565727234
39,2022-04-29 17:40:00+00:00,"Gingrich: Border crisis ‘profoundly’ changing US politics as Hispanic voters abandon Democrats

http",Neutral,0.5977753400802612
40,2022-04-29 17:30:01+00:00,"Mayorkas won't name 1 domestic terror, White supremacy case referred to DOJ

http",Neutral,0.7160232067108154
41,2022-04-29 17:20:00+00:00,"Reporter reveals why they're afraid to go after Psaki: 'Makes you look like an a--hole'

http",Negative,0.7790073156356812
42,2022-04-29 17:10:00+00:00,"DeSantis hits back at Biden's ‘book burning’ comment: ‘We want education, not indoctrination’

http",Neutral,0.7798376679420471
43,2022-04-29 17:00:01+00:00,"McCarthy calls on Biden to disband disinformation board

http",Neutral,0.8139461278915405
44,2022-04-29 16:50:00+00:00,"DeSantis pledges to fight back against Biden disinfo board

http",Neutral,0.8790149688720703
45,2022-04-29 16:40:00+00:00,"Liberal media, watchdogs 'utterly asleep at their keyboards' on Biden’s Disinformation Governance Board

http",Negative,0.5441259145736694
46,2022-04-29 16:30:00+00:00,"OPINION: Elon Musk is threat to our democracy cries Elizabeth Warren as she works to undermine it

http",Negative,0.7742933034896851
47,2022-04-29 16:20:00+00:00,"DeSantis blasts Disney execs’ attack on parents: 'Walt Disney would not want that'

http",Negative,0.6330187916755676
48,2022-04-29 16:10:00+00:00,"DOUBLE FAULT: Tennis legend sentenced to prison over bankruptcy ordeal

http",Negative,0.7651901841163635
49,2022-04-29 16:00:00+00:00,"'GOD HELP US': Twitter users shocked by ‘ridiculous’ TikTok of new ‘disinformation czar’ singing

http",Negative,0.764411985874176
50,2022-04-29 15:50:00+00:00,"Dog jumps from window to escape Pennsylvania house fire

http",Neutral,0.8027756214141846
